latitude,longitude
43.64781,-79.40555
43.65046,-79.37462
43.65571,-79.3874
43.64057,-79.38305
43.65624,-79.40894
43.64341,-79.39124
43.65629,-79.36926
43.64434,-79.3678
43.66002,-79.39887
43.66065,-79.37883
43.64834,-79.39839
43.65999,-79.42226
43.64324,-79.37795
43.65089,-79.38261
43.66161,-79.39235
43.64148,-79.3927
43.65882,-79.41397
43.66097,-79.38593
43.65308,-79.40288
43.64774,-79.36941
43.64793,-79.38355
43.65437,-79.39873
43.66156,-79.3707
43.63883,-79.39117
43.6488,-79.3889
43.64823,-79.36417
43.65366,-79.41257
43.66295,-79.40627
43.64987,-79.39109
43.64317,-79.39873
43.65576,-79.39203
43.65626,-79.37829
43.64552,-79.3707
43.65127,-79.36822
43.64733,-79.37967
43.65715,-79.38508
43.64068,-79.38815
43.64463,-79.38493
43.66134,-79.40132
43.66216,-79.38272
43.65959,-79.36523
43.65822,-79.37224
43.64573,-79.40059
43.65205,-79.40726
43.64499,-79.37421
43.65385,-79.41514
43.64883,-79.39345
43.66227,-79.39581
43.65426,-79.36529
43.65702,-79.38121
43.65105,-79.37869
43.65735,-79.40315
43.66211,-79.3682
43.65012,-79.37348
43.6429,-79.38144
43.65302,-79.37294
43.64371,-79.39603
43.65802,-79.41898
43.66145,-79.40974
43.64671,-79.36619
43.6625,-79.37673
43.63877,-79.39285
43.65432,-79.37877
43.64804,-79.40429
43.65697,-79.39512
43.63967,-79.38668
43.65499,-79.37562
43.64605,-79.37588
43.64101,-79.3767
43.65754,-79.38964
43.64088,-79.39594
43.66113,-79.38809
43.65266,-79.38953
43.65105,-79.41219
43.64968,-79.40131
43.65087,-79.38643
43.65671,-79.39968
43.64248,-79.39016
43.65084,-79.39512
43.64822,-79.37092
43.65463,-79.38575
43.6605,-79.37548
43.6567,-79.36594
43.65907,-79.38598
43.65543,-79.36978
43.65382,-79.39385
43.65887,-79.41708
43.64482,-79.38227
43.64593,-79.38949
43.65572,-79.41138
43.64179,-79.37498
43.66305,-79.39334
43.64661,-79.39614
43.65612,-79.3748
43.65256,-79.40481
43.64785,-79.37733
43.64098,-79.38069
43.6422,-79.38486
43.66376,-79.39833
43.65483,-79.38267
43.64904,-79.36728
43.64554,-79.36434
43.64395,-79.39249
43.6455,-79.40334
43.65927,-79.38128
43.65224,-79.39794
43.65078,-79.40673
43.66247,-79.38635
43.65212,-79.3644
43.64772,-79.40144
43.65449,-79.39032
43.6526,-79.37651
43.66217,-79.41265
43.65254,-79.39985
43.65839,-79.39141
43.64231,-79.38432
43.65109,-79.3668
43.63831,-79.3893
43.64683,-79.39127
43.65685,-79.40582
43.6593,-79.4025
43.64963,-79.37569
43.66209,-79.40464
43.65982,-79.39995
43.64575,-79.39362
43.64607,-79.38554
43.64824,-79.38518
43.66144,-79.37232
43.65214,-79.3686
43.64385,-79.38928
43.64864,-79.38026
43.64597,-79.37
43.66032,-79.4065
43.63796,-79.39513
43.64787,-79.39614
43.65455,-79.40563
43.64268,-79.37582
43.65949,-79.41953
43.65074,-79.37066
43.64303,-79.39107
43.65188,-79.38176
43.657,-79.38587
43.64749,-79.3728
43.64085,-79.38781
43.65616,-79.39275
43.65921,-79.3935
43.66239,-79.39466
43.66218,-79.36592
43.66286,-79.40306
43.64513,-79.37878
43.65636,-79.41363
43.65523,-79.41788
43.65884,-79.39619
43.6441,-79.37195
43.65097,-79.39265
43.64313,-79.38013
43.65166,-79.37894
43.65906,-79.37133
43.65921,-79.39036
43.65855,-79.37636
43.65619,-79.37861
43.64872,-79.40459
43.65372,-79.40991
43.64373,-79.39977
43.65537,-79.37389
43.6506,-79.38989
43.65566,-79.41848
43.66136,-79.38338
43.65282,-79.37157
43.65554,-79.39568
43.6421,-79.37202
43.6598,-79.40907
43.64029,-79.38211
43.6512,-79.38495
43.65315,-79.38743
43.66259,-79.39969
43.65025,-79.37564
43.65385,-79.36924
43.65616,-79.39042
43.65045,-79.40993
43.6497,-79.39894
43.6472,-79.38999
43.65645,-79.38029
43.65472,-79.40702
43.64175,-79.39753
43.64497,-79.39747
43.63963,-79.3869
43.64435,-79.37582
43.64928,-79.38589
43.66126,-79.3791
43.64928,-79.37794
43.65382,-79.39634
43.64068,-79.3915
43.65894,-79.41335
43.64712,-79.37704
43.66309,-79.3932
43.64671,-79.39568
43.64838,-79.3635
43.6585,-79.38488
